anonymised_id,group
artefact-001,design-grounded
artefact-002,ungrounded
artefact-003,fully-grounded
artefact-004,design-grounded
artefact-005,design-grounded
artefact-006,ungrounded
artefact-007,design-grounded
artefact-008,fully-grounded
artefact-009,fully-grounded
artefact-010,design-grounded
artefact-011,ungrounded
artefact-012,design-grounded
artefact-013,fully-grounded
artefact-014,fully-grounded
artefact-015,design-grounded
artefact-016,fully-grounded
artefact-017,ungrounded
artefact-018,fully-grounded
artefact-019,ungrounded
artefact-020,design-grounded
artefact-021,fully-grounded
artefact-022,ungrounded
artefact-023,fully-grounded
artefact-024,fully-grounded
artefact-025,ungrounded
artefact-026,fully-grounded
artefact-027,ungrounded
artefact-028,design-grounded
artefact-029,fully-grounded
artefact-030,fully-grounded
artefact-031,design-grounded
artefact-032,ungrounded
artefact-033,design-grounded
artefact-034,design-grounded
artefact-035,ungrounded
artefact-036,fully-grounded
artefact-037,ungrounded
artefact-038,design-grounded
artefact-039,fully-grounded
artefact-040,ungrounded
artefact-041,design-grounded
artefact-042,fully-grounded
artefact-043,ungrounded
artefact-044,ungrounded
artefact-045,design-grounded
artefact-046,ungrounded
artefact-047,ungrounded
artefact-048,fully-grounded
artefact-049,ungrounded
artefact-050,ungrounded
artefact-051,design-grounded
artefact-052,design-grounded
artefact-053,ungrounded
artefact-054,design-grounded
artefact-055,design-grounded
artefact-056,fully-grounded
artefact-057,design-grounded
artefact-058,fully-grounded
artefact-059,fully-grounded
artefact-060,ungrounded
