artefact,reviewer,data_ink_ratio,chartjunk_absence,chart_type_appropriateness,alert_by_exception,var_risk_metrics,greeks_sensitivity,message_driven_structure,labelling_economy,data_formatting,semantic_colour,completeness,overall
artefact-001,1,9.0,10.0,10.0,9.0,7.0,8.0,5.0,9.0,10.0,10.0,10.0,8.8
artefact-001,2,9.0,10.0,10.0,9.0,8.0,9.0,6.0,9.0,10.0,10.0,10.0,9.1
artefact-001,3,9.0,10.0,10.0,9.0,8.0,9.0,6.0,9.0,10.0,10.0,10.0,9.1
artefact-002,1,9.0,9.0,7.0,9.0,8.0,6.0,6.0,9.0,9.0,9.0,6.0,7.9
artefact-002,2,9.0,9.0,7.0,9.0,9.0,7.0,5.0,9.0,9.0,6.0,9.0,8.0
artefact-002,3,9.0,9.0,7.0,9.0,8.0,6.0,6.0,9.0,10.0,9.0,9.0,8.3
artefact-003,1,9.0,10.0,9.0,8.0,9.0,10.0,5.0,9.0,9.0,6.0,8.0,8.4
artefact-003,2,9.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,8.0,8.0,8.6
artefact-003,3,9.0,10.0,8.0,9.0,8.0,9.0,4.0,9.0,9.0,9.0,8.0,8.4
artefact-004,1,9.0,9.0,7.0,6.0,9.0,5.0,5.0,9.0,9.0,5.0,7.0,7.3
artefact-004,2,9.0,9.0,8.0,10.0,9.0,10.0,6.0,9.0,9.0,9.0,10.0,8.9
artefact-004,3,9.0,9.0,8.0,9.0,9.0,10.0,6.0,9.0,9.0,8.0,10.0,8.2
artefact-005,1,9.0,10.0,10.0,9.0,8.0,6.0,4.0,9.0,10.0,8.0,7.0,8.2
artefact-005,2,10.0,10.0,10.0,10.0,9.0,7.0,6.0,9.0,10.0,10.0,7.0,8.9
artefact-005,3,10.0,10.0,10.0,10.0,8.0,7.0,5.0,9.0,10.0,10.0,10.0,9.0
artefact-006,1,8.0,9.0,6.0,9.0,8.0,10.0,5.0,9.0,9.0,6.0,10.0,8.1
artefact-006,2,9.0,9.0,8.0,9.0,10.0,10.0,6.0,9.0,10.0,7.0,10.0,8.8
artefact-006,3,9.0,9.0,7.0,9.0,8.0,10.0,6.0,9.0,10.0,7.0,10.0,8.5
artefact-007,1,9.0,10.0,10.0,10.0,8.0,6.0,5.0,9.0,10.0,10.0,8.0,8.6
artefact-007,2,10.0,10.0,10.0,9.0,8.0,6.0,5.0,9.0,10.0,10.0,9.0,8.7
artefact-007,3,10.0,10.0,10.0,10.0,8.0,6.0,5.0,7.0,10.0,10.0,8.0,8.5
artefact-008,1,9.0,10.0,10.0,10.0,8.0,7.0,10.0,9.0,9.0,10.0,8.0,9.0
artefact-008,2,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,8.0,9.5
artefact-008,3,10.0,10.0,10.0,10.0,10.0,7.0,10.0,9.0,10.0,10.0,9.0,9.5
artefact-009,1,9.0,10.0,10.0,9.0,6.0,4.0,5.0,6.0,9.0,9.0,6.0,7.5
artefact-009,2,10.0,10.0,10.0,9.0,7.0,6.0,6.0,6.0,10.0,10.0,7.0,8.3
artefact-009,3,9.0,10.0,10.0,9.0,8.0,7.0,5.0,6.0,10.0,10.0,9.0,8.45
artefact-010,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.8
artefact-010,2,10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,7.0,9.5
artefact-010,3,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.7
artefact-011,1,9.0,10.0,10.0,9.0,8.0,6.0,5.0,7.0,10.0,10.0,10.0,8.5
artefact-011,2,10.0,10.0,10.0,10.0,8.0,6.0,6.0,9.0,10.0,10.0,10.0,9.0
artefact-011,3,9.0,10.0,10.0,9.0,8.0,4.0,6.0,8.0,9.0,10.0,10.0,8.5
artefact-012,1,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.6
artefact-012,2,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.6
artefact-012,3,10.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.4
artefact-013,1,9.0,10.0,8.0,10.0,9.0,9.0,6.0,9.0,9.0,7.0,8.0,8.5
artefact-013,2,9.0,9.0,6.0,9.0,8.0,5.0,4.0,9.0,9.0,10.0,7.0,7.7
artefact-013,3,9.0,10.0,8.0,9.0,10.0,9.0,6.0,9.0,9.0,9.0,7.0,8.6
artefact-014,1,9.0,10.0,8.0,9.0,10.0,6.0,5.0,9.0,10.0,7.0,8.0,8.3
artefact-014,2,9.0,10.0,8.0,9.0,9.0,6.0,5.0,8.0,9.0,9.0,8.0,8.2
artefact-014,3,9.0,9.0,8.0,9.0,7.0,4.0,5.0,8.0,9.0,8.0,6.0,7.5
artefact-015,1,9.0,10.0,10.0,9.0,8.0,8.0,5.0,9.0,10.0,9.0,7.0,8.5
artefact-015,2,10.0,10.0,10.0,9.0,10.0,9.0,5.0,9.0,10.0,10.0,10.0,9.3
artefact-015,3,9.0,10.0,10.0,9.0,9.0,7.0,5.0,9.0,10.0,10.0,8.0,8.7
artefact-016,1,10.0,10.0,10.0,10.0,9.0,10.0,6.0,9.0,10.0,10.0,10.0,9.5
artefact-016,2,10.0,10.0,10.0,9.0,8.0,10.0,6.0,9.0,10.0,10.0,10.0,9.3
artefact-016,3,9.0,10.0,10.0,9.0,8.0,9.0,6.0,9.0,10.0,9.0,10.0,9.0
artefact-017,1,10.0,10.0,10.0,9.0,7.0,8.0,5.0,9.0,10.0,10.0,10.0,8.9
artefact-017,2,10.0,10.0,10.0,9.0,9.0,10.0,5.0,8.0,10.0,9.0,10.0,9.1
artefact-017,3,10.0,10.0,10.0,10.0,9.0,9.0,5.0,9.0,10.0,10.0,10.0,9.27
artefact-018,1,9.0,9.0,6.0,9.0,8.0,10.0,5.0,8.0,8.0,9.0,10.0,8.3
artefact-018,2,8.0,8.0,6.0,9.0,8.0,9.0,5.0,8.0,8.0,6.0,10.0,7.7
artefact-018,3,8.0,9.0,7.0,9.0,7.0,9.0,6.0,9.0,8.0,9.0,10.0,8.27
artefact-019,1,10.0,10.0,10.0,9.0,8.0,6.0,10.0,8.0,10.0,10.0,8.0,9.0
artefact-019,2,9.0,10.0,10.0,9.0,8.0,6.0,10.0,9.0,10.0,10.0,8.0,9.0
artefact-019,3,9.0,10.0,9.0,10.0,9.0,6.0,10.0,9.0,10.0,10.0,8.0,9.1
artefact-020,1,9.0,9.0,8.0,9.0,8.0,10.0,6.0,8.0,9.0,9.0,10.0,8.6
artefact-020,2,9.0,9.0,7.0,9.0,7.0,9.0,5.0,8.0,9.0,7.0,10.0,8.1
artefact-020,3,9.0,9.0,8.0,9.0,7.0,10.0,6.0,8.0,8.0,9.0,10.0,8.5
artefact-021,1,10.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.5
artefact-021,2,9.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,9.6
artefact-021,3,9.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,9.3
artefact-022,1,9.0,10.0,9.0,9.0,8.0,9.0,5.0,9.0,10.0,10.0,10.0,8.9
artefact-022,2,9.0,10.0,10.0,9.0,9.0,8.0,5.0,9.0,10.0,10.0,10.0,9.0
artefact-022,3,9.0,10.0,10.0,10.0,7.0,4.0,6.0,9.0,10.0,10.0,6.0,8.3
artefact-023,1,10.0,10.0,10.0,9.0,9.0,6.0,5.0,9.0,10.0,9.0,10.0,8.8
artefact-023,2,10.0,10.0,10.0,10.0,8.0,6.0,5.0,9.0,10.0,10.0,10.0,8.9
artefact-023,3,9.0,10.0,10.0,10.0,7.0,6.0,4.0,9.0,10.0,10.0,10.0,8.6
artefact-024,1,10.0,10.0,10.0,10.0,9.0,8.0,5.0,9.0,10.0,10.0,10.0,9.2
artefact-024,2,9.0,10.0,10.0,10.0,8.0,7.0,5.0,9.0,10.0,10.0,10.0,8.9
artefact-024,3,9.0,10.0,10.0,10.0,9.0,10.0,6.0,8.0,10.0,10.0,10.0,9.3
artefact-025,1,9.0,10.0,10.0,9.0,9.0,6.0,5.0,9.0,9.0,10.0,10.0,8.7
artefact-025,2,9.0,10.0,10.0,10.0,9.0,6.0,6.0,8.0,9.0,10.0,8.0,8.6
artefact-025,3,9.0,10.0,10.0,10.0,9.0,5.0,5.0,8.0,9.0,10.0,8.0,8.5
artefact-026,1,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,7.0,9.3
