artefact,reviewer,information_hierarchy,data_density,labeling_and_context,colour_and_encoding,layout_and_grouping,table_chart_readability,alert_threshold_visibility,completeness,overall
artefact-005,1,8.0,9.0,9.0,6.0,8.0,8.0,9.0,7.0,8.0
artefact-005,2,9.0,9.0,8.0,7.0,7.0,8.0,10.0,9.0,8.3
artefact-005,3,9.0,9.0,10.0,9.0,8.0,9.0,9.0,6.0,8.6
artefact-007,1,9.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,8.75
artefact-007,2,9.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,9.1
artefact-007,3,8.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.1
artefact-008,1,8.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,8.5
artefact-008,2,7.0,9.0,9.0,9.0,8.0,9.0,9.0,6.0,8.25
artefact-008,3,8.0,9.0,9.0,9.0,8.0,7.0,9.0,6.0,8.1
artefact-009,1,8.0,9.0,7.0,9.0,8.0,8.0,9.0,6.0,8.0
artefact-009,2,9.0,9.0,8.0,9.0,9.0,7.0,9.0,6.0,8.25
artefact-009,3,7.0,8.0,6.0,9.0,8.0,7.0,9.0,5.0,7.4
artefact-010,1,7.0,9.0,9.0,9.0,8.0,9.0,10.0,6.0,8.4
artefact-010,2,6.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,8.4
artefact-010,3,6.0,9.0,10.0,9.0,8.0,9.0,10.0,5.0,8.25
artefact-011,1,9.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.4
artefact-011,2,6.0,9.0,8.0,9.0,8.0,6.0,9.0,10.0,8.1
artefact-011,3,8.0,9.0,8.0,7.0,6.0,8.0,9.0,7.0,7.75
artefact-015,1,7.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0
artefact-015,2,7.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.9
artefact-015,3,9.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,9.4
artefact-016,1,7.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.4
artefact-016,2,9.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,8.6
artefact-016,3,8.0,9.0,9.0,9.0,8.0,7.0,10.0,10.0,8.75
artefact-021,1,9.0,9.0,9.0,7.0,9.0,8.0,9.0,8.0,8.5
artefact-021,2,7.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,8.5
artefact-021,3,9.0,8.0,9.0,8.0,9.0,6.0,10.0,9.0,8.5
artefact-022,1,7.0,9.0,9.0,9.0,8.0,9.0,10.0,5.0,8.3
artefact-022,2,9.0,9.0,8.0,9.0,8.0,9.0,10.0,6.0,8.5
artefact-022,3,7.0,8.0,8.0,9.0,8.0,8.0,9.0,4.0,7.6
artefact-023,1,7.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,8.75
artefact-023,2,8.0,10.0,8.0,7.0,9.0,9.0,10.0,9.0,8.75
artefact-023,3,7.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.6
artefact-027,1,9.0,8.0,8.0,9.0,8.0,4.0,9.0,5.0,7.5
artefact-027,2,9.0,9.0,9.0,9.0,9.0,5.0,9.0,5.0,8.0
artefact-027,3,7.0,9.0,8.0,9.0,8.0,7.0,9.0,4.0,7.6
artefact-029,1,8.0,9.0,9.0,9.0,8.0,9.0,10.0,7.0,8.6
