artefact,reviewer,information_hierarchy,data_density,labeling_and_context,colour_and_encoding,layout_and_grouping,table_chart_readability,alert_threshold_visibility,completeness,overall
artefact-001,1,6.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.4
artefact-001,2,7.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,8.75
artefact-001,3,7.0,9.0,6.0,9.0,9.0,8.0,10.0,9.0,8.4
artefact-002,1,9.0,8.0,9.0,9.0,9.0,9.0,10.0,5.0,8.5
artefact-002,2,9.0,8.0,9.0,9.0,9.0,9.0,10.0,6.0,8.6
artefact-002,3,10.0,8.0,9.0,9.0,9.0,9.0,10.0,5.0,8.6
artefact-003,1,9.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,8.4
artefact-003,2,9.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,8.5
artefact-003,3,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,8.6
artefact-004,1,9.0,9.0,10.0,8.0,8.0,7.0,10.0,7.0,8.5
artefact-004,2,8.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,8.875
artefact-004,3,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0
artefact-005,1,8.0,9.0,8.0,9.0,8.0,9.0,10.0,6.0,8.4
artefact-005,2,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,8.5
artefact-005,3,9.0,9.0,8.0,9.0,9.0,8.0,10.0,7.0,8.6
artefact-006,1,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.25
artefact-006,2,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,8.75
artefact-006,3,9.0,8.0,10.0,7.0,9.0,8.0,9.0,10.0,8.75
artefact-007,1,7.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0,8.1
artefact-007,2,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.5
artefact-007,3,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.6
artefact-008,1,8.0,9.0,9.0,9.0,8.0,7.0,9.0,6.0,8.1
artefact-008,2,8.0,9.0,9.0,9.0,9.0,8.0,10.0,7.0,8.6
