anonymised_id,group
artefact-001,fully-grounded
artefact-002,fully-grounded
artefact-003,fully-grounded
artefact-004,design-grounded
artefact-005,design-grounded
artefact-006,design-grounded
artefact-007,ungrounded
artefact-008,design-grounded
artefact-009,ungrounded
artefact-010,ungrounded
artefact-011,fully-grounded
artefact-012,fully-grounded
artefact-013,ungrounded
artefact-014,ungrounded
artefact-015,design-grounded
artefact-016,fully-grounded
artefact-017,fully-grounded
artefact-018,design-grounded
artefact-019,fully-grounded
artefact-020,ungrounded
artefact-021,fully-grounded
artefact-022,ungrounded
artefact-023,ungrounded
artefact-024,fully-grounded
artefact-025,fully-grounded
artefact-026,design-grounded
artefact-027,design-grounded
artefact-028,design-grounded
artefact-029,ungrounded
artefact-030,ungrounded
artefact-031,fully-grounded
artefact-032,design-grounded
artefact-033,ungrounded
artefact-034,design-grounded
artefact-035,ungrounded
artefact-036,ungrounded
artefact-037,design-grounded
artefact-038,design-grounded
artefact-039,design-grounded
artefact-040,fully-grounded
artefact-041,fully-grounded
artefact-042,fully-grounded
artefact-043,design-grounded
artefact-044,design-grounded
artefact-045,design-grounded
artefact-046,design-grounded
artefact-047,ungrounded
artefact-048,fully-grounded
artefact-049,ungrounded
artefact-050,fully-grounded
artefact-051,design-grounded
artefact-052,ungrounded
artefact-053,ungrounded
artefact-054,fully-grounded
artefact-055,design-grounded
artefact-056,fully-grounded
artefact-057,ungrounded
artefact-058,fully-grounded
artefact-059,ungrounded
artefact-060,ungrounded
