artefact,reviewer,information_hierarchy,data_density,labeling_and_context,colour_and_encoding,layout_and_grouping,table_chart_readability,alert_threshold_visibility,completeness,overall
artefact-001,1,8.0,9.0,8.0,7.0,8.0,8.0,7.0,9.0,8.0
artefact-001,2,8.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,7.9
artefact-001,3,8.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,8.1
artefact-002,1,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.6
artefact-002,2,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.6
artefact-002,3,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-003,1,8.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,7.9
artefact-003,2,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,7.9
artefact-003,3,8.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,7.9
artefact-004,1,8.0,8.0,6.0,7.0,8.0,7.0,8.0,9.0,7.6
artefact-004,2,8.0,8.0,6.0,7.0,8.0,7.0,8.0,9.0,7.6
artefact-004,3,8.0,8.0,6.0,7.0,8.0,7.0,8.0,9.0,7.6
artefact-005,1,7.0,8.0,7.0,6.0,8.0,7.0,6.0,9.0,7.3
artefact-005,2,7.0,8.0,7.0,6.0,8.0,7.0,6.0,9.0,7.3
artefact-005,3,7.0,8.0,7.0,6.0,8.0,7.0,6.0,9.0,7.3
artefact-006,1,7.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.6
artefact-006,2,7.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.6
artefact-006,3,7.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.6
artefact-007,1,8.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,7.9
artefact-007,2,8.0,8.0,7.0,7.0,8.0,6.0,7.0,9.0,7.5
artefact-007,3,8.0,8.0,7.0,7.0,8.0,7.0,8.0,10.0,7.9
artefact-008,1,7.0,8.0,6.0,7.0,8.0,7.0,6.0,9.0,7.3
artefact-008,2,7.0,8.0,6.0,6.0,8.0,7.0,5.0,8.0,6.9
artefact-008,3,7.0,8.0,6.0,6.0,8.0,7.0,6.0,9.0,7.1
artefact-009,1,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-009,2,8.0,8.0,7.0,7.0,8.0,6.0,8.0,9.0,7.6
artefact-009,3,8.0,8.0,7.0,7.0,8.0,6.0,7.0,9.0,7.5
artefact-010,1,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-010,2,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-010,3,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-011,1,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.6
artefact-011,2,8.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,7.9
artefact-011,3,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.6
artefact-012,1,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.6
artefact-012,2,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.6
artefact-012,3,8.0,8.0,7.0,7.0,8.0,7.0,7.0,9.0,7.6
artefact-013,1,8.0,8.0,7.0,7.0,8.0,7.0,7.0,9.0,7.6
artefact-013,2,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-013,3,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-014,1,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.8
artefact-014,2,7.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.6
artefact-014,3,7.0,8.0,7.0,7.0,8.0,7.0,7.0,9.0,7.5
